month,sales,orders,users,category,avg_order_value
2026-03,1818.5,56,385,食品,32.47
2026-03,3000.42,60,556,电子,50.01
2026-03,2233.85,60,646,食品,37.23
2026-03,2909.47,71,648,电子,40.98
2026-03,2415.87,61,454,电子,39.6
2026-03,2412.31,61,552,电子,39.55
2026-03,1968.01,74,511,食品,26.59
2026-03,1598.25,45,584,美妆,35.52
2026-03,2817.62,51,387,电子,55.25
2026-03,2724.59,53,528,电子,51.41
2026-03,1555.32,68,495,美妆,22.87
2026-03,2172.45,90,504,食品,24.14
2026-03,3508.7,86,620,电子,40.8
2026-03,2154.38,64,403,食品,33.66
2026-03,988.99,52,404,美妆,19.02
2026-03,1722.98,63,457,家居,27.35
2026-03,1785.73,85,485,家居,21.01
2026-03,2309.58,48,397,电子,48.12
2026-03,3251.51,47,351,电子,69.18
2026-03,1268.16,61,432,服装,20.79
2026-03,2239.35,72,637,家居,31.1
2026-03,1348.71,89,426,食品,15.15
2026-03,3260.06,82,632,电子,39.76
2026-03,1405.41,64,536,食品,21.96
2026-04,1619.89,47,533,美妆,34.47
2026-04,1669.7,51,531,食品,32.74
2026-04,2901.47,71,429,家居,40.87
2026-04,1158.23,55,440,美妆,21.06
2026-04,983.31,92,520,美妆,10.69
2026-04,2233.09,87,477,家居,25.67
2026-04,2073.43,51,545,服装,40.66
2026-04,2865.34,59,452,家居,48.57
2026-04,2301.84,64,466,家居,35.97
2026-04,2153.68,70,518,食品,30.77
2026-04,1311.61,94,492,服装,13.95
2026-04,1778.48,88,624,服装,20.21
2026-04,1267.24,61,441,服装,20.77
2026-04,3802.66,47,405,电子,80.91
2026-04,2674.6,95,510,电子,28.15
2026-04,3803.87,52,547,电子,73.15
2026-04,1119.72,47,573,美妆,23.82
2026-04,2466.75,79,450,食品,31.22
2026-04,1312.2,87,519,服装,15.08
2026-04,3236.45,52,503,电子,62.24
2026-04,3242.65,65,556,电子,49.89
2026-04,3043.73,57,565,电子,53.4
2026-04,2733.77,92,439,电子,29.71
2026-04,2595.48,80,350,电子,32.44
2026-04,1460.97,95,646,服装,15.38
2026-04,2633.15,73,576,电子,36.07
2026-04,2967.26,95,436,电子,31.23
2026-04,2565.13,87,521,电子,29.48
2026-04,2497.91,60,508,食品,41.63
2026-04,1610.27,46,373,食品,35.01
2026-05,2088.37,94,387,食品,22.22
2026-05,3916.75,81,449,电子,48.35
2026-05,2366.9,70,474,家居,33.81
2026-05,2358.66,93,404,食品,25.36
2026-05,2114.84,89,615,家居,23.76
2026-05,3289.53,52,583,电子,63.26
2026-05,2075.03,78,636,食品,26.6
2026-05,4038.68,73,608,电子,55.32
2026-05,3956.28,73,431,电子,54.2
2026-05,2505.34,61,476,家居,41.07
2026-05,2204.09,94,616,家居,23.45
2026-05,2682.48,73,389,电子,36.75
2026-05,2138.73,66,513,家居,32.41
2026-05,1110.55,54,468,美妆,20.57
2026-05,1510.53,58,382,服装,26.04
2026-05,2857.32,74,562,电子,38.61
2026-05,2543.44,69,649,食品,36.86
2026-05,1056.19,93,644,美妆,11.36
2026-05,1342.35,67,502,服装,20.04
2026-05,3083.5,71,625,家居,43.43
2026-05,2614.42,83,462,家居,31.5
2026-05,2746.76,76,364,电子,36.14
2026-05,2101.33,70,434,服装,30.02
2026-05,3184.39,84,623,家居,37.91
2026-05,1985.19,81,363,食品,24.51
2026-05,2029.2,74,443,食品,27.42
2026-05,1966.22,58,582,食品,33.9
2026-05,2207.06,69,492,服装,31.99
2026-05,3050.65,61,391,家居,50.01
2026-05,3655.14,48,529,电子,76.15
2026-06,1686.16,86,370,食品,19.61
2026-06,3466.46,57,360,家居,60.82
2026-06,2877.17,75,408,电子,38.36
2026-06,2835.03,89,481,电子,31.85
2026-06,2185.84,83,408,家居,26.34
2026-06,2179.25,64,405,家居,34.05
2026-06,4290.65,81,542,电子,52.97
2026-06,2311.65,49,474,服装,47.18
2026-06,2646.94,88,411,食品,30.08
2026-06,2838.0,47,527,家居,60.38
2026-06,3743.21,49,609,电子,76.39
2026-06,2414.66,71,600,电子,34.01
2026-06,2903.98,85,585,食品,34.16
2026-06,2624.33,91,617,家居,28.84
2026-06,1372.81,79,597,美妆,17.38
2026-06,4079.44,82,487,电子,49.75
2026-06,1734.84,50,492,服装,34.7
2026-06,1347.76,74,641,美妆,18.21
2026-06,3164.73,46,603,电子,68.8
2026-06,2208.85,58,531,家居,38.08
2026-06,2468.48,83,491,家居,29.74
2026-06,3446.54,57,393,电子,60.47
2026-06,2147.27,80,473,食品,26.84
2026-06,3711.24,76,579,电子,48.83
2026-06,2063.42,59,557,家居,34.97
2026-06,3015.71,82,538,电子,36.78
2026-06,3475.81,72,631,电子,48.28
2026-06,2296.71,62,506,服装,37.04
2026-06,1581.48,57,511,服装,27.75
2026-06,2323.95,93,444,食品,24.99
